id,name,host_id,host_acceptance_rate,host_total_listings_count,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
16379917,4bd 2 bath Boston 20 Min to Downtown w/parking,16052189,28%,26,Hyde Park,42.2355,-71.13134,Entire rental unit,Entire home/apt,6,2,4,3,$191.00 ,29,1125,5,4.89,4.78,4.78,4.78,4.56,4.89
16413314,Modern Brownstone - walk to Longwood Medical Area!,6570954,89%,2,Roxbury,42.32676,-71.09364,Private room in condo,Private room,2,1,1,1,$76.00 ,6,1125,4.93,4.92,4.99,4.98,4.98,4.71,4.85
16447567,#104 Boston 独立房 全楼禁烟AC room,112905339,,25,Dorchester,42.3076,-71.06542,Private room in rental unit,Private room,2,2,1,2,$65.00 ,29,180,4.72,4.86,4.7,4.92,4.94,4.27,4.7
16453657,Quiet & Perfect Location Near The Red Line!,16186589,96%,30,Dorchester,42.28732,-71.06625,Private room in rental unit,Private room,1,1,1,1,$50.00 ,30,365,5,4.67,4.67,5,4.67,4.33,4.67
16459191,"Stylish, Best Location Back Bay Studio!",107981961,91%,2,Back Bay,42.35349,-71.07595,Entire condo,Entire home/apt,3,1,0,1,$210.00 ,29,1124,4.89,4.94,4.87,4.93,4.85,4.97,4.63
16479752,Large bedroom- easy access to Boston and Cambridge,21745230,97%,25,Charlestown,42.38191,-71.07865,Private room in rental unit,Private room,2,1,1,1,$75.00 ,1,1125,5,5,5,5,5,4.67,5
16517776,Next to T stop-10 min to downtown Boston/Cambridge,21745230,97%,25,Charlestown,42.38183,-71.07888,Private room in rental unit,Private room,2,1,1,1,$86.00 ,1,1125,4.83,4.92,4.89,4.94,4.96,4.81,4.77
16545081,"Renovated, Clean, Quiet & Safe Near Orange Line",18517776,0%,34,Roxbury,42.31341,-71.09356,Private room in rental unit,Private room,1,1.5,1,1,$39.00 ,100,1000,5,5,4.67,5,5,5,5
16692369,Bedroom in large apartment-access to Boston/Camb.,21745230,97%,25,Charlestown,42.38366,-71.0786,Private room in rental unit,Private room,2,1,1,1,$75.00 ,1,1125,4.83,5,5,5,5,4.33,4.83
16731118,#103 Boston private AC room 可讲国语禁止吸烟,112905339,,25,Dorchester,42.30775,-71.0651,Private room in rental unit,Private room,1,2,1,1,$55.00 ,30,180,4.69,4.86,4.65,4.94,4.9,4.16,4.67
16770690,Maria's JP Rental - Boston Duplex in Jamaica Plain,111344375,100%,1,Jamaica Plain,42.30745,-71.11043,Entire rental unit,Entire home/apt,5,1,2,4,$190.00 ,4,29,4.88,4.89,4.93,4.99,4.99,4.93,4.84
16892278,Fantastic 2 Bedroom Apartment,37177446,100%,1,Roslindale,42.27781,-71.11602,Entire rental unit,Entire home/apt,5,1,2,4,$200.00 ,3,30,4.88,4.91,4.96,4.98,4.98,4.55,4.79
16894082,South Boston. Minutes away from Convention Center,27636546,100%,1,South Boston,42.33509,-71.0288,Entire rental unit,Entire home/apt,4,2,1,1,$290.00 ,2,28,4.9,4.88,4.98,5,4.96,4.88,4.84
16909100,Modern luxe 1st Flr apartment steps from the train,68078375,97%,6,Jamaica Plain,42.32036,-71.10403,Entire rental unit,Entire home/apt,4,1,2,3,$299.00 ,3,730,4.81,4.83,4.86,4.89,4.88,4.86,4.74
16923467,Quiet stay in a Brookline Village,6963539,,4,West Roxbury,42.29506,-71.15325,Private room in townhouse,Private room,1,1.5,1,1,$500.00 ,91,1125,4.8,4.8,5,5,5,4.6,5
16971718,A Victorian Secret AMAZING apt.  in Historic Home,446136994,,1,Roxbury,42.3237,-71.09514,Entire rental unit,Entire home/apt,4,1,2,2,$267.00 ,2,30,4.98,4.96,4.99,4.95,4.93,4.75,4.89
17042710,2 Bedroom with Luxury Amenities in Back Bay,22541573,100%,1119,Fenway,42.34432,-71.08673,Entire rental unit,Entire home/apt,5,2,2,2,$325.00 ,32,270,4.75,4.75,4.75,4.75,4.75,5,4.25
17210305,Renovated House Clean room,18517776,0%,34,Roxbury,42.31313,-71.09335,Private room in rental unit,Private room,1,1.5,2,1,$39.00 ,91,1125,5,5,4.67,5,5,4,4.67
17222935,Reasonable  Place for your stay near the T Lines!,16186589,96%,30,Dorchester,42.30042,-71.0642,Private room in rental unit,Private room,1,1,1,1,$41.00 ,30,365,4.73,4.55,4.27,4.82,4.91,3.91,4.36
17223845,Right location & Private Room w/ Airbed Near T!,16186589,96%,30,Dorchester,42.30042,-71.06435,Private room in rental unit,Private room,1,1,1,1,$45.00 ,30,365,4.69,4.88,4.63,4.94,4.94,3.81,4.63
17296595,Beautifully renovated apartment in the trees,13242712,100%,2,Jamaica Plain,42.30817,-71.11114,Entire rental unit,Entire home/apt,5,1,3,4,$375.00 ,29,365,4.86,4.89,4.96,4.92,4.89,4.94,4.62
17430142,Renovated Clean Quiet House near Orange line,18517776,0%,34,Roxbury,42.31341,-71.09358,Private room in home,Private room,1,1,2,1,$39.00 ,150,1125,5,5,5,5,5,4.5,5
17523133,"Entire floor, private bath, 2 mins walk to subway",88194508,91%,2,Dorchester,42.28499,-71.06211,Private room in home,Private room,2,1,1,1,$119.00 ,2,14,4.97,4.97,4.94,4.97,4.99,4.87,4.94
17523630,Private & serene getaway in beautiful JP,30593609,96%,1,Jamaica Plain,42.31299,-71.11876,Entire guest suite,Entire home/apt,3,1,1,2,$186.00 ,3,25,4.98,4.97,5,4.97,5,4.96,4.89
17529340,S End/B Bay border! Copley Location- Perfect 1 Br,89406568,100%,1,South End,42.34566,-71.07433,Entire rental unit,Entire home/apt,2,1,1,1,$350.00 ,3,60,4.99,4.98,4.98,5,5,4.99,4.85
17541222,Room for up to 4 in Updated 1 BR apt by T!,18150109,94%,5,Roxbury,42.32852,-71.09581,Entire rental unit,Entire home/apt,4,1,1,2,$153.00 ,91,1125,4.72,4.83,4.72,4.92,4.93,4.6,4.72
17559493,"NEW 2nd Floor, 2BR Downtown Boston",118122992,100%,4,Chinatown,42.34903,-71.062,Entire rental unit,Entire home/apt,5,1,2,3,$266.00 ,3,1125,4.71,4.82,4.83,4.93,4.93,4.79,4.6
17559756,"NEW 3rd Floor, 2BR Downtown Boston",118122992,100%,4,Chinatown,42.3503,-71.06037,Entire rental unit,Entire home/apt,5,1,2,4,$278.00 ,3,1125,4.74,4.85,4.86,4.95,4.92,4.74,4.59
17559846,NEW B 1BR Downtown Boston,118122992,100%,4,Chinatown,42.34835,-71.06039,Entire rental unit,Entire home/apt,3,1,1,2,$145.00 ,29,35,4.8,4.79,4.9,4.97,4.93,4.85,4.64
17567087,Charming South End Duplex (Pets Ok),119265681,98%,3,South End,42.34351,-71.06889,Entire rental unit,Entire home/apt,6,1,2,3,$350.00 ,2,1125,4.96,4.94,4.92,4.97,4.97,4.97,4.82
17573922,"NEW 1st Floor, 1BR Downtown Boston",118122992,100%,4,Chinatown,42.34986,-71.06197,Entire rental unit,Entire home/apt,3,1,1,2,$180.00 ,29,90,4.86,4.97,4.91,4.97,4.99,4.78,4.71
17588460,Fenway/Back Bay Luxury Apt-,38997,57%,29,Fenway,42.34651,-71.08957,Entire condo,Entire home/apt,2,1,0,1,$126.00 ,91,1125,4,4,4.67,4.67,4,5,5
17616603,Charming South-End condo with large outdoor patio,55900538,100%,1,South End,42.33959,-71.08015,Entire rental unit,Entire home/apt,4,1,1,2,$249.00 ,1,1125,4.88,4.92,4.93,4.95,4.97,4.86,4.71
17617918,Back Bay One Bedroom - Best Neighborhood in Boston,22541573,100%,1119,Fenway,42.3461,-71.0877,Entire rental unit,Entire home/apt,3,1,1,1,$230.00 ,32,270,5,5,5,5,5,5,5
17676984,Private room-10 min to downtown15 min to Cambridge,21745230,97%,25,Charlestown,42.38376,-71.07707,Private room in rental unit,Private room,2,1,1,1,$84.00 ,1,1125,4.4,4.8,4.8,5,5,4.4,4.8
17704067,Great Location for your stay!,16186589,96%,30,Dorchester,42.30656,-71.07173,Private room in rental unit,Private room,1,1,1,1,$40.00 ,30,365,4.6,4.53,4.33,4.67,4.6,3.87,4.13
17779084,Huge rm Renovated Clean Subway Safe neighborhood,18517776,0%,34,Roxbury,42.31333,-71.09339,Private room in rental unit,Private room,1,1.5,1,1,$39.00 ,91,1000,,,,,,,
17791011,Back Bay Cozy Studio In Brownstone first floor,57329784,100%,1,Back Bay,42.35122842,-71.08858947,Entire condo,Entire home/apt,2,1,1,1,$190.00 ,1,1125,4.86,4.9,4.78,4.88,4.96,4.95,4.65
17806747,Brand New North End Luxurious One Bedroom Condo up,10250257,0%,5,North End,42.36393,-71.05223,Entire condo,Entire home/apt,2,1,2,2,$130.00 ,91,1125,5,4.93,5,4.93,5,5,4.8
17807912,"Apartment in Jamaica Plain, Boston",53753788,,1,Jamaica Plain,42.29973,-71.11618,Entire rental unit,Entire home/apt,4,1,1,2,$82.00 ,91,1125,4.45,4.77,4.55,4.95,4.95,4.57,4.52
17849739,Suitable & Convenient Private Bedroom Near T!,16186589,96%,30,Dorchester,42.28964,-71.06607,Private room in rental unit,Private room,1,1,1,1,$45.00 ,30,365,4.73,4.45,4.55,5,5,4.36,4.64
17927755,Master Bedroom/Private Bathroom/Mission Hill/JP,106269675,100%,1,Mission Hill,42.32938,-71.11024,Private room in rental unit,Private room,2,1,1,1,$80.00 ,29,1125,4.67,4.8,4.68,4.84,4.87,4.72,4.66
17942707,Newly Renovated 1 BR close to T & Longwood Med!,18150109,94%,5,Roxbury,42.32807,-71.09557,Entire rental unit,Entire home/apt,4,1,1,3,$156.00 ,91,1125,4.68,4.84,4.77,4.92,4.91,4.62,4.72
17952482,#101 Boston New heating AC room 全樓禁烟讲国语,112905339,,25,Dorchester,42.30752,-71.06525,Private room in rental unit,Private room,1,2,1,4,$65.00 ,30,180,4.61,4.76,4.58,4.88,4.88,4.42,4.67
17962385,"Heart of Boston- Large Studio, private entrance",116718872,92%,2,South End,42.34417362,-71.07598677,Entire rental unit,Entire home/apt,2,1,0,1,$215.00 ,3,26,4.7,4.87,4.85,4.85,4.84,4.89,4.68
17969508,Renovated House Large Bay Windows Near Orange Line,18517776,0%,34,Roxbury,42.31343,-71.09345,Private room in rental unit,Private room,1,1.5,2,1,$39.00 ,150,1125,,,,,,,
17974950,"★ Sunny, Spacious & Modern ★ Cleaned & Sanitized!",69587,97%,8,East Boston,42.37642,-71.03784,Private room in home,Private room,2,2,1,1,$112.00 ,1,14,4.88,4.91,4.96,4.93,4.91,4.63,4.78
18023901,C_Large room easy commute to Boston Downtown.,89328922,93%,19,Dorchester,42.32116318,-71.05723853,Private room in rental unit,Private room,1,1,1,1,$85.00 ,1,28,4.92,4.96,4.83,5,5,4.7,4.85
18070939,Large Stylish Newbury Street Studio w/kitchen,22348222,99%,156,Back Bay,42.34981,-71.08263,Entire rental unit,Entire home/apt,2,1,0,1,$219.00 ,29,1125,4.72,4.85,4.82,4.88,4.85,4.97,4.6
18159981,Sunny Boston Apartment,30732884,40%,6,Dorchester,42.28897,-71.06613,Entire rental unit,Entire home/apt,4,1,2,2,$165.00 ,91,1125,4.95,4.96,4.96,4.95,4.97,4.57,4.84
18170647,"Spacious, step to public transport,  hospitals.",31340713,95%,148,Brighton,42.34133,-71.14605,Entire rental unit,Entire home/apt,4,1,1,2,$195.00 ,29,1125,5,4.75,4.75,4.75,5,5,4.5
18191155,NUTS FREE & Cozy 15 min to Logan∆7 min to Downtown,33858449,100%,1,Chinatown,42.34983,-71.06132,Entire condo,Entire home/apt,4,1,2,4,$250.00 ,3,90,4.95,4.95,4.95,4.95,4.95,4.93,4.84
18199963,“The Tower Room” at The Perthshire House.,16441460,99%,13,Brighton,42.35395,-71.16776,Private room in condo,Private room,2,1,1,1,$109.00 ,1,1125,4.8,4.87,4.75,4.92,4.94,4.81,4.77
18220200,Near Orange Line Renovated Clean AC Easy Parking,18517776,0%,34,Roxbury,42.31337,-71.09339,Private room in rental unit,Private room,1,1,1,1,$39.00 ,120,1125,5,5,5,5,5,5,5
18290558,★ Spacious & Modern ★ Professionally Sanitized ★,69587,97%,8,East Boston,42.3748,-71.03803,Private room in home,Private room,2,2,1,1,$112.00 ,1,14,4.85,4.87,4.94,4.92,4.91,4.64,4.73
18305618,"Boston’s Luxury Cellar Apartment, Comfy & Cozy",126495858,100%,1,Hyde Park,42.2353,-71.12879,Entire guesthouse,Entire home/apt,2,1,1,1,$130.00 ,29,200,4.79,4.79,4.85,4.93,4.9,4.73,4.75
18342681,"★ Modern, Cozy & Convenient ★ Close to Downtown!",69587,97%,8,East Boston,42.37441,-71.03809,Private room in home,Private room,2,2,1,1,$112.00 ,1,14,4.86,4.92,4.94,4.95,4.92,4.63,4.77
18342707,★Clean | Cozy Bedroom - Close to Subway & Airport★,69587,97%,8,East Boston,42.37612,-71.03807,Private room in home,Private room,2,2,1,1,$112.00 ,1,14,4.92,4.93,4.96,4.96,4.93,4.71,4.79
18354570,Newly Remodeled Studio in Back Bay - River View,66334205,100%,3,Back Bay,42.35318,-71.07904,Entire rental unit,Entire home/apt,2,1,0,1,$153.00 ,30,1125,4.85,4.92,4.79,4.9,4.92,4.99,4.73
18368646,"M&R - Private Bdrm Living Room, Bathroom & Parking",7988017,83%,4,Dorchester,42.29189,-71.0574,Private room in home,Private room,3,1,1,1,$70.00 ,29,365,4.79,4.86,4.86,4.97,4.91,4.54,4.76
